Mandant|Buchungskreis|Werk|Buchungsdatum|Belegdatum|Materialdokument|Pos|Material|Materialkurztext|Bewegungsart|Menge|Einheit|Betrag_in_HW|Waehrung|Lieferant|Buchungstext|Kostenstelle|Lagerort|Benutzername
100|1000|PL01|13.02.2023|13.02.2023|5000010034|1|LPG00001|LPG|261|44.346|KG|4042.22|INR|V-K008|Verbrauch Generator Mumbai|KST-FAC-01|SL01|NREDDY
100|1000|PL01|10.03.2023|08.03.2023|5000010035|1|DIESEL001|Dieselkraftstoff|261|1054.739|L|78040.78|INR|V-K001|Nutzung Generator Mumbai|KST-FAC-01|SL01|RJOSHI
100|1000|PL01|15.03.2023|12.03.2023|5000010036|1|DIESEL001|Dieselkraftstoff|261|974.677|L|69050.02|INR|V-ESSAR|Tanken Wartung Mumbai|KST-MNT-01|SL01|KVELU
100|1000|PL01|08.03.2023|07.03.2023|5000010037|1|DIESEL001|Diesel|261|440.175|L|33458.95|INR|V-IOCL1|Entnahme Wartung Mumbai|KST-LOG-01|SL01|MGUPTA
100|1000|PL01|27.03.2023|24.03.2023|5000010038|1|DIESEL001|Dieselkraftstoff|261|994.924|L|68874.5|INR|V-HPCL1|Verbrauch Kantine Mumbai|KST-LOG-01|SL01|KVELU
100|1000|PL01|15.03.2023|15.03.2023|5000010039|1|DIESEL001|Diesel|261|587.595|L|44967.28|INR|V-K007|Tanken Wartung Mumbai|KST-OPS-03|SL01|BCHATT
100|1000|PL01|14.03.2023|12.03.2023|5000010040|1|DIESEL001|Diesel|261|732.619|L|52074.6|INR|V-BPCL1|Nutzung Wartung Mumbai|KST-MNT-01|SL01|RJOSHI
100|1000|PL01|16.03.2023|16.03.2023|5000010041|1|DIESEL001|Diesel|261|638.89|L|48882.57|INR|V-BPCL1|Verbrauch Notstromaggregat Mumbai|KST-PRD-02|SL01|MGUPTA
100|1000|PL01|08.03.2023|06.03.2023|5000010042|1|DIESEL001|Diesel|261|788.514|L|58307.0|INR|V-RELI1|Nutzung Fahrzeugflotte Mumbai|KST-OPS-03|SL01|SPRIYA
100|1000|PL01|13.03.2023|13.03.2023|5000010043|1|PETRL001|Benzin|261|260.687|L|24872.59|INR|V-K004|Entnahme Kantine Mumbai|KST-FAC-03|SL01|SPRIYA
100|1000|PL01|25.03.2023|22.03.2023|5000010044|1|PETRL001|Motorenbenzin|261|308.728|L|30818.78|INR|V-K004|Tanken Fahrzeugflotte Mumbai|KST-OPS-02|SL01|NREDDY
100|1000|PL01|08.03.2023|07.03.2023|5000010045|1|PETRL001|Benzin|261|255.334|L|24408.37|INR|V-K008|Verbrauch Generator Mumbai|KST-FAC-02|SL01|BCHATT
100|1000|PL01|25.03.2023|24.03.2023|5000010046|1|PETRL001|Motorenbenzin|261||L||INR|V-K007|Nutzung Heizung Mumbai|KST-PRD-01|SL01|GMISHRA
100|1000|PL01|04.03.2023|02.03.2023|5000010047|1|PETRL001|Benzin|261|299.057|L|26601.37|INR|V-K002|Entnahme Notstromaggregat Mumbai|KST-LOG-03|SL01|MGUPTA
100|1000|PL01|04.03.2023|01.03.2023|5000010048|1|PETRL001|Motorenbenzin|261|258.896|L|25678.41|INR|V-IOCL1|Nutzung Notstromaggregat Mumbai|KST-LOG-02|SL01|VMEHTA
100|1000|PL01|15.03.2023|12.03.2023|5000010049|1|LPG00001|LPG|261|46.115|KG|4438.96|INR|V-HPCL1|Entnahme Produktion Mumbai|KST-LOG-02|SL01|SPRIYA
100|1000|PL01|01.03.2023|26.02.2023|5000010050|1|LPG00001|LPG|261|39.092|KG|3685.94|INR|V-BPCL1|Nutzung Heizung Mumbai|KST-FAC-02|SL01|RPANDEY
100|1000|PL01|03.03.2023|02.03.2023|5000010051|1|LPG00001|LPG|261|54.429|KG|5048.01|INR|V-HPCL1|Entnahme Heizung Mumbai|KST-OPS-02|SL01|RJOSHI
100|1000|PL01|10.04.2023|08.04.2023|5000010052|1|DIESEL001|Diesel|261|842.778|L|65501.71|INR|V-K008|Tanken Heizung Mumbai|KST-FAC-02|SL01|VMEHTA
100|1000|PL01|11.04.2023|11.04.2023|5000010053|1|DIESEL001|Dieselkraftstoff|261|553.233|L|38408.35|INR|V-K010|Auffuellung Heizung Mumbai|KST-OPS-02|SL01|VMEHTA
100|1000|PL01|12.04.2023|11.04.2023|5000010054|1|DIESEL001|Diesel|261|411.319|L|28545.57|INR|V-BPCL1|Entnahme Generator Mumbai|KST-LOG-03|SL01|SNEHA
100|1000|PL01|28.04.2023|28.04.2023|5000010055|1|DIESEL001|Diesel|261|775.518|L|53017.41|INR|V-K008|Entnahme Generator Mumbai|KST-MNT-01|SL01|AKUMAR
100|1000|PL01|19.04.2023|19.04.2023|5000010056|1|DIESEL001|Dieselkraftstoff|261|519.358|L|36220.12|INR|V-HPCL1|Nutzung Heizung Mumbai|KST-LOG-02|SL01|GMISHRA
100|1000|PL01|25.04.2023|22.04.2023|5000010057|1|DIESEL001|Diesel|261|1126.804|L|82279.01|INR|V-K001|Verbrauch Heizung Mumbai|KST-PRD-01|SL01|TLAXMAN
100|1000|PL01|09.04.2023|09.04.2023|5000010058|1|DIESEL001|Dieselkraftstoff|261|591.892|L|40274.26|INR|V-K008|Auffuellung Notstromaggregat Mumbai|KST-OPS-01|SL01|VMEHTA
100|1000|PL01|03.04.2023|02.04.2023|5000010059|1|DIESEL001|Diesel|261|1030.262|L|76091.88|INR|V-K009|Auffuellung DG-Set Mumbai|KST-LOG-03|SL01|PSINGH
100|1000|PL01|03.04.2023|03.04.2023|5000010060|1|PETRL001|Benzin|261|298.157|L|30107.99|INR|V-K008|Auffuellung Notstromaggregat Mumbai|KST-FAC-02|SL01|BCHATT
100|1000|PL01|15.04.2023|15.04.2023|5000010061|1|PETRL001|Benzin|261|322.356|L|31459.7|INR|V-IOCL1|Tanken Kantine Mumbai|KST-MNT-01|SL01|ASAXEN
100|1000|PL01|19.04.2023|19.04.2023|5000010062|1|PETRL001|Benzin|261|217.625|L|22282.81|INR|V-IOCL1|Entnahme Produktion Mumbai|KST-FAC-07|SL01|ASAXEN
100|1000|PL01|14.04.2023|12.04.2023|5000010063|1|PETRL001|Motorenbenzin|261|267.533|L|24983.78|INR|V-K007|Entnahme Generator Mumbai|KST-PRD-02|SL01|ASAXEN
100|1000|PL01|11.04.2023|09.04.2023|5000010063|1|PETRL001|Motorenbenzin|261|128.98|L|13105.02|INR|V-RELI1|Verbrauch Produktion Mumbai|KST-FAC-07|SL01|MGUPTA
100|1000|PL01|20.04.2023|17.04.2023|5000010065|1|PETRL001|Motorenbenzin|261|289.998|L|28059.05|INR|V-BPCL1||KST-OPS-02|SL01|SPRIYA
100|1000|PL01|21.04.2023|20.04.2023|5000010066|1|LPG00001|Fluessiggas|261||KG||INR|V-RELI1|Tanken DG-Set Mumbai|KST-OPS-02|SL01|RPANDEY
100|1000|PL01|16.04.2023|14.04.2023|5000010067|1|LPG00001|LPG|261|50.775|KG|4549.44|INR|V-K004|Verbrauch Generator Mumbai|KST-LOG-02|SL01|RPANDEY
100|1000|PL01|09.04.2023|06.04.2023|5000010068|1|LPG00001|LPG|261|76.712|KG|7258.18|INR|V-K010|Verbrauch Notstromaggregat Mumbai|KST-LOG-03|SL01|TLAXMAN
100|1000|PL01|18.05.2023|15.05.2023|5000010069|1|DIESEL001|Diesel|261|665.952|L|47006.53|INR|V-BPCL1|Entnahme Fahrzeugflotte Mumbai|KST-LOG-02|SL01|PSINGH
100|1000|PL01|11.05.2023|08.05.2023|5000010070|1|DIESEL001|Diesel|261|708.863|L|53657.39|INR|V-K001|Auffuellung Generator Mumbai|KST-LOG-01|SL01|SNEHA
100|1000|PL01|28.05.2023|25.05.2023|5000010071|1|DIESEL001|Dieselkraftstoff|261|820.761|L|61198.04|INR|V-K003|Auffuellung Produktion Mumbai|KST-FAC-07|SL01|AKUMAR
100|1000|PL01|20.05.2023|17.05.2023|5000010072|1|DIESEL001|Dieselkraftstoff|261|1081.412|L|82338.3|INR|V-BPCL1|Nutzung Fahrzeugflotte Mumbai|KST-PRD-02|SL01|RPANDEY
100|1000|PL01|20.05.2023|20.05.2023|5000010073|1|DIESEL001|Dieselkraftstoff|261|904.929|L|70340.44|INR|V-K002|Tanken Notstromaggregat Mumbai|KST-LOG-03|SL01|KVELU
100|1000|PL01|06.05.2023|04.05.2023|5000010074|1|DIESEL001|Dieselkraftstoff|261|436.793|L|30409.35|INR|V-K009|Verbrauch DG-Set Mumbai|KST-LOG-02|SL01|GMISHRA
100|1000|PL01|06.05.2023|06.05.2023|5000010075|1|DIESEL001|Diesel|261|895.768|L|68755.38|INR|V-K005|Entnahme Kantine Mumbai|KST-FAC-02|SL01|SPRIYA
100|1000|PL01|22.05.2023|21.05.2023|5000010076|1|DIESEL001|Dieselkraftstoff|261|753.384|L|55003.68|INR|V-K005|Entnahme Notstromaggregat Mumbai|KST-MNT-01|SL01|SPRIYA
100|1000|PL01|04.05.2023|03.05.2023|5000010077|1|PETRL001|Motorenbenzin|261|242.981|L|25165.0|INR|V-IOCL1||KST-FAC-02|SL01|GMISHRA
100|1000|PL01|28.05.2023|28.05.2023|5000010078|1|PETRL001|Motorenbenzin|261|308.21|L|30893.55|INR|V-K004|Verbrauch Generator Mumbai|KST-FAC-01|SL01|NREDDY
100|1000|PL01|21.05.2023|21.05.2023|5000010079|1|PETRL001|Motorenbenzin|261|297.153|L|27909.88|INR|V-K006|Verbrauch Produktion Mumbai|KST-FAC-05|SL01|BCHATT
100|1000|PL01|17.05.2023|15.05.2023|5000010080|1|PETRL001|Benzin|261|164.243|L|15721.53|INR|V-K006|Tanken DG-Set Mumbai|KST-OPS-02|SL01|KVELU
100|1000|PL01|25.05.2023|24.05.2023|5000010081|1|PETRL001|Motorenbenzin|261|341.817|L|32109.71|INR|V-K009|Auffuellung Wartung Mumbai|KST-FAC-07|SL01|AKUMAR
100|1000|PL01|27.05.2023|25.05.2023|5000010082|1|PETRL001|Benzin|261|268.709|L|26289.48|INR|V-K010|Entnahme Kantine Mumbai|KST-LOG-03|SL01|PSINGH
100|1000|PL01|21.05.2023|18.05.2023|5000010083|1|LPG00001|Fluessiggas|261|36.989|KG|3224.81|INR|V-ESSAR|Auffuellung Wartung Mumbai|KST-OPS-03|SL01|MGUPTA
100|1000|PL01|19.05.2023|18.05.2023|5000010084|1|LPG00001|LPG|261|62.746|KG|5751.64|INR|V-BPCL1|Verbrauch Produktion Mumbai|KST-FAC-01|SL01|DRAO
100|1000|PL01|04.05.2023|02.05.2023|5000010085|1|LPG00001|LPG|261|33.028|KG|3195.2|INR|V-K002|Nutzung Fahrzeugflotte Mumbai|KST-FAC-01|SL01|NREDDY
100|1000|PL01|02.06.2023|31.05.2023|5000010086|1|DIESEL001|Dieselkraftstoff|261|1191.057|L|81711.24|INR|V-K010|Auffuellung DG-Set Mumbai|KST-MNT-01|SL01|PSINGH
100|1000|PL01|26.06.2023|26.06.2023|5000010087|1|DIESEL001|Diesel|261|1086.725|L|73612.04|INR|V-IOCL1|Auffuellung Heizung Mumbai|KST-OPS-01|SL01|ASAXEN
100|1000|PL01|19.06.2023|17.06.2023|5000010088|1|DIESEL001|Dieselkraftstoff|261|539.397|L|40338.58|INR|V-K008|Nutzung Generator Mumbai|KST-PRD-02|SL01|SPRIYA
100|1000|PL01|15.06.2023|14.06.2023|5000010089|1|DIESEL001|Dieselkraftstoff|261|981.794|L|72486.4|INR|V-K001|Entnahme Generator Mumbai|KST-FAC-07|SL01|RJOSHI
100|1000|PL01|16.06.2023|13.06.2023|5000010090|1|DIESEL001|Dieselkraftstoff|261|1119.413|L|76062.78|INR|V-K010|Nutzung Kantine Mumbai|KST-PRD-01|SL01|MGUPTA
100|1000|PL01|15.06.2023|12.06.2023|5000010091|1|DIESEL001|Dieselkraftstoff|261|1034.477|L|76326.09|INR|V-RELI1|Verbrauch Wartung Mumbai|KST-FAC-05|SL01|PSINGH
100|1000|PL01|11.06.2023|08.06.2023|5000010092|1|DIESEL001|Diesel|261|732.792|L|52142.78|INR|V-K003|Tanken Generator Mumbai|KST-FAC-07|SL01|NREDDY
100|1000|PL01|14.06.2023|14.06.2023|5000010093|1|DIESEL001|Diesel|261|1049.415|L|76603.18|INR|V-K002|Entnahme Fahrzeugflotte Mumbai|KST-FAC-03|SL01|GMISHRA
100|1000|PL01|10.06.2023|08.06.2023|5000010094|1|PETRL001|Motorenbenzin|261|125.9|L|11418.71|INR|V-K006|Auffuellung Heizung Mumbai|KST-LOG-01|SL01|ASAXEN
100|1000|PL01|26.06.2023|23.06.2023|5000010095|1|PETRL001|Benzin|261|252.249|L|24965.52|INR|V-HPCL1|Verbrauch DG-Set Mumbai|KST-FAC-03|SL01|VMEHTA
100|1000|PL01|19.06.2023|16.06.2023|5000010096|1|PETRL001|Benzin|261|135.469|L|12028.41|INR|V-K007|Auffuellung Produktion Mumbai|KST-FAC-03|SL01|SPRIYA
100|1000|PL01|25.06.2023|25.06.2023|5000010097|1|PETRL001|Benzin|261|138.895|L|12373.37|INR|V-K007|Auffuellung Heizung Mumbai|KST-LOG-02|SL01|SPRIYA
100|1000|PL01|25.06.2023|25.06.2023|5000010098|1|PETRL001|Motorenbenzin|261|207.478|L|20486.7|INR|V-K001|Tanken Fahrzeugflotte Mumbai|KST-FAC-05|SL01|PSINGH
100|1000|PL01|07.06.2023|05.06.2023|5000010099|1|PETRL001|Benzin|261|291.837|L|27072.52|INR|V-K007|Verbrauch Produktion Mumbai|KST-OPS-03|SL01|SNEHA
100|1000|PL01|03.06.2023|31.05.2023|5000010100|1|LPG00001|Fluessiggas|261|51.811|KG|4348.04|INR|V-K007|Tanken Wartung Mumbai|KST-LOG-03|SL01|BCHATT
100|1000|PL01|01.06.2023|30.05.2023|5000010101|1|LPG00001|Fluessiggas|261|70.066|KG|6640.94|INR|V-RELI1|Entnahme Generator Mumbai|KST-FAC-01|SL01|AKUMAR
100|1000|PL01|13.06.2023|11.06.2023|5000010102|1|LPG00001|LPG|261|41.079|KG|3446.52|INR|V-K004|Verbrauch Heizung Mumbai|KST-PRD-02|SL01|RPANDEY
100|1000|PL01|04.07.2023|03.07.2023|5000010103|1|DIESEL001|Diesel|261|557.817|L|41834.98|INR|V-HPCL1|Nutzung Notstromaggregat Mumbai|KST-FAC-07|SL01|NREDDY
100|1000|PL01|22.07.2023|20.07.2023|5000010104|1|DIESEL001|Diesel|261|520.766|L|37148.45|INR|V-K001|Entnahme Notstromaggregat Mumbai|KST-LOG-01|SL01|DRAO
100|1000|PL01|02.07.2023|02.07.2023|5000010105|1|DIESEL001|Diesel|261|1065.357|L|81176.11|INR|V-K009|Tanken Notstromaggregat Mumbai|KST-FAC-07|SL01|GMISHRA
100|1000|PL01|26.07.2023|25.07.2023|5000010106|1|DIESEL001|Diesel|261|884.005|L|68309.68|INR|V-RELI1|Verbrauch Fahrzeugflotte Mumbai|KST-PRD-01|SL01|DRAO
100|1000|PL01|08.07.2023|05.07.2023|5000010107|1|DIESEL001|Diesel|261|819.255|L|57701.85|INR|V-HPCL1|Auffuellung Generator Mumbai|KST-LOG-03|SL01|DRAO
100|1000|PL01|11.07.2023|11.07.2023|5000010108|1|DIESEL001|Diesel|261|627.318|L|46298.34|INR|V-K006|Auffuellung Kantine Mumbai|KST-LOG-02|SL01|AKUMAR
100|1000|PL01|21.07.2023|18.07.2023|5000010109|1|DIESEL001|Dieselkraftstoff|261|876.033|L|61152.7|INR|V-RELI1|Nutzung Generator Mumbai|KST-LOG-03|SL01|SNEHA
100|1000|PL01|21.07.2023|18.07.2023|5000010110|1|DIESEL001|Diesel|261|414.584|L|32004.84|INR|V-K004|Auffuellung Generator Mumbai|KST-OPS-03|SL01|PSINGH
100|1000|PL01|17.07.2023|17.07.2023|5000010111|1|PETRL001|Motorenbenzin|261|319.098|L|31110.05|INR|V-BPCL1|Verbrauch Notstromaggregat Mumbai|KST-LOG-02|SL01|KVELU
100|1000|PL01|02.07.2023|29.06.2023|5000010112|1|PETRL001|Motorenbenzin|261|269.091|L|25602.1|INR|V-K008|Entnahme Heizung Mumbai|KST-LOG-01|SL01|PSINGH
100|1000|PL01|12.07.2023|09.07.2023|5000010113|1|PETRL001|Motorenbenzin|261|292.36|L|28079.61|INR|V-K004|Auffuellung Fahrzeugflotte Mumbai|KST-LOG-02|SL01|KVELU
100|1000|PL01|21.07.2023|18.07.2023|5000010114|1|PETRL001|Motorenbenzin|261|238.635|L|24176.81|INR|V-HPCL1|Nutzung DG-Set Mumbai|KST-FAC-02|SL01|SNEHA
100|1000|PL01|27.07.2023|24.07.2023|5000010115|1|PETRL001|Benzin|261|336.603|L|32061.21|INR|V-K001|Entnahme Generator Mumbai|KST-LOG-01|SL01|GMISHRA
100|1000|PL01|12.07.2023|11.07.2023|5000010116|1|PETRL001|Benzin|261|179.671|L|17840.95|INR|V-K001|Verbrauch Notstromaggregat Mumbai|KST-MNT-01|SL01|VMEHTA
100|1000|PL01|15.07.2023|15.07.2023|5000010117|1|LPG00001|Fluessiggas|261|30.95|KG|2629.3|INR|V-K007|Auffuellung Generator Mumbai|KST-PRD-02|SL01|AKUMAR
100|1000|PL01|02.07.2023|01.07.2023|5000010118|1|LPG00001|LPG|261|61.948|KG|5185.32|INR|V-K009|Verbrauch DG-Set Mumbai|KST-LOG-03|SL01|RJOSHI
100|1000|PL01|10.07.2023|07.07.2023|5000010119|1|LPG00001|Fluessiggas|261|60.74|KG|5393.63|INR|V-K006|Nutzung Fahrzeugflotte Mumbai|KST-LOG-01|SL01|AKUMAR
100|1000|PL01|13.08.2023|10.08.2023|5000010120|1|DIESEL001|Dieselkraftstoff|261|908.537|KG|62836.28|INR|V-K006|Tanken Produktion Mumbai|KST-PRD-01|SL01|PSINGH
100|1000|PL01|05.08.2023|05.08.2023|5000010121|1|DIESEL001|Diesel|261|836.811|L|57118.23|INR|V-BPCL1|Verbrauch Generator Mumbai|KST-LOG-03|SL01|SPRIYA
100|1000|PL01|23.08.2023|20.08.2023|5000010122|1|DIESEL001|Dieselkraftstoff|261|634.754|L|43504.7|INR|V-K009|Auffuellung Fahrzeugflotte Mumbai|KST-MNT-01|SL01|GMISHRA
100|1000|PL01|25.08.2023|24.08.2023|5000010123|1|DIESEL001|Diesel|261|685.579|L|52250.72|INR|V-K006|Entnahme Produktion Mumbai|KST-FAC-05|SL01|GMISHRA
100|1000|PL01|06.08.2023|03.08.2023|5000010124|1|DIESEL001|Diesel|261|693.878|L|48094.5|INR|V-K007|Auffuellung Produktion Mumbai|KST-MNT-01|SL01|TLAXMAN
100|1000|PL01|04.08.2023|04.08.2023|5000010125|1|DIESEL001|Diesel|261|928.735|L|67966.87|INR|V-K006|Auffuellung Wartung Mumbai|KST-OPS-01|SL01|SPRIYA
100|1000|PL01|09.08.2023|09.08.2023|5000010126|1|DIESEL001|Dieselkraftstoff|261|936.947|L|67601.43|INR|V-K001|Entnahme Fahrzeugflotte Mumbai|KST-MNT-01|SL01|SNEHA
100|1000|PL01|05.08.2023|05.08.2023|5000010127|1|DIESEL001|Dieselkraftstoff|261|1022.812|L|72262.16|INR|V-IOCL1|Tanken DG-Set Mumbai|KST-FAC-03|SL01|SPRIYA
100|1000|PL01|17.08.2023|15.08.2023|5000010128|1|PETRL001|Motorenbenzin|261|178.596|L|18408.53|INR|V-K009|Auffuellung Notstromaggregat Mumbai|KST-LOG-01|SL01|GMISHRA
100|1000|PL01|07.08.2023|05.08.2023|5000010129|1|PETRL001|Motorenbenzin|261|150.045|L|13422.64|INR|V-K002|Auffuellung Produktion Mumbai|KST-LOG-03|SL01|KVELU
100|1000|PL01|23.08.2023|23.08.2023|5000010130|1|PETRL001|Motorenbenzin|261|322.833|L|32042.27|INR|V-HPCL1|Verbrauch DG-Set Mumbai|KST-LOG-01|SL01|DRAO
100|1000|PL01|08.08.2023|05.08.2023|5000010131|1|PETRL001|Benzin|261|190.224|L|18166.27|INR|V-ESSAR|Entnahme Wartung Mumbai|KST-OPS-02|SL01|AKUMAR
100|1000|PL01|25.08.2023|22.08.2023|5000010132|1|PETRL001|Benzin|261|131.332|L|11748.85|INR|V-K003|Nutzung DG-Set Mumbai|KST-MNT-01|SL01|RPANDEY
100|1000|PL01|25.08.2023|24.08.2023|5000010133|1|PETRL001|Motorenbenzin|261|225.716|L|22817.67|INR|V-K003|Nutzung Kantine Mumbai|KST-PRD-01|SL01|DRAO
100|1000|PL01|28.08.2023|28.08.2023|5000010134|1|LPG00001|LPG|261|39.815|KG|3454.03|INR|V-K002|Nutzung DG-Set Mumbai|KST-LOG-03|SL01|MGUPTA
100|1000|PL01|06.08.2023|04.08.2023|5000010135|1|LPG00001|Fluessiggas|261||KG||INR|V-K010|Nutzung Wartung Mumbai|KST-LOG-03|SL01|VMEHTA
